,EnterpriseDes,WageDes,WorkDes,average_price,int_price,price,title
0,洽兴包装中国有限公司属于台商独资企业，总投资3000万美金，主要经营二手进口注塑机、化妆品包装容器包装材料和原料等，于1991年2月6日在昆山工商局登记注册，公司在职员工约五千人左右；,基本情况发薪日:15合同介绍合同说明:与企业制定的人力资源公司签合同工资发放:由企业指定的人力资源公司发放保险说明:入职缴纳商业保险，一年后转正后缴纳社保；食宿介绍伙食:公司提供一曰三餐，多种菜品自由选择，直接刷卡吃饭，费用工资中扣除住宿:公司免费提供住宿，住宿区有专人负责管理员工宿舍安全、卫生等，室内配置衣柜、空调；水电费按实际使用费用均摊，宿舍在厂区外，路程15分钟车程；（政策随企业变动）交通:有班车,"岗位状态工时说明:有长白班，两班倒，具体听企业安排，8:00-20:00工作环境:部分站着工作、部份坐着 ，部分穿静电衣录用条件年龄:18-40岁， 男女不限；英文字母:会26个英文字母简单算术:简单加减乘除法身高要求:手上不能有纹身，烟疤少量可以；材料:二代身份证原件及复印件4张，毕业证复印件3张，照片4张体检说明:企业指定的医院，体检费60元自理温馨提示：1、入职满一年可享受5天带薪休假； 
2、加班稳定，一个月休息两天，不穿无尘服，适合养家糊口的大盆友； 
3、车间环境不是很好； 
4.冲压车间有噪音，适合年龄偏大的会员宝宝

",5000,"[4500, 5500]",4500元-5500元,洽兴包装中国有限公司
1,"盐城日铠电脑配件有限公司
日铠电脑配件有限公司位于江苏省盐城亭湖区青墩镇青洋工业园区，成立于2017年9月，项目总投资6亿美元，注册资本金2亿美元，征地1400亩，建设厂房、研发中心及附属设施超100万平方米，隶属于台湾铠胜集团旗下与上海日沛、日腾、日铭、胜瑞、铠和、铠嘉、日冠、日丽、等公司同为铠胜集团旗下子公司，及隶属台湾和硕集团（原华硕集团）旗下与苏州名硕、上海昌硕、凯硕、钧硕等公司同为兄弟公司。是苹果、dell、asus、acer等世界知名电脑品牌重要的机构外观件制造厂商。在电子消费品行业的外观件生产领域积累了丰富的经验，凭着优异的产品质量和高效的生产能力成为全球前三大金属内外构件领导大厂，主要生产手机和笔记本外壳。","基本情况发薪日:16日（26～25号）底薪:1720元薪资结构:岗位津贴：0-100元；夜班津贴：9元/天；
加班时薪：14.83元/时，平时加班（周一至周五）；19.77元/时，双休日加班（周六、周日）；29.66元/时，国家法定日加班合同介绍合同说明:与企业指定人力资源商签合同工资发放:转正前由企业指定人力资源公司代发保险说明:入职缴纳商业保险20/元（不扣员工）食宿介绍伙食:工作餐免费住宿:水电费自理",岗位状态工作内容:生产电脑、手机、平板后壳工时说明:两班倒温馨提示：1、车间有气味有噪音 ， 上班需戴口罩和专门配置耳塞。2、新厂区加班可能不稳定，生活设施也可能会不便利，有可能会发生没有热水或者是马桶坏的等等现象，3、离职需按企业流程办理手续，薪资以企业实结为准,3250,"[3000, 3500]",3000元-3500元,日铠电脑配件有限公司
2,京东于 2004 年正式涉足电商领域。2016 年，京东集团市场交易额达到 9392 亿元，净收入达到 2602 亿元，年交易额同比增长 44%，增速是行业平均增速的 2 倍。京东入榜2016《财富》全球 500 强，成为中国首家、唯一入选的互联网企业，也是中国收入规模最大的互联网企业。截至 2015 年 12 月 31 日，京东集团拥有近 11 万名正式员工，业务涉及电商、金融和技术三大领域。2014 年 5 月，京东在美国纳斯达克证券交易所正式挂牌上市，是中国第一个成功赴美上市的大型综合型电商平台，并跻身全球前十大互联网公司排行榜。2015 年 7 月，京东因高成长性入选纳斯达克 100 指数和纳斯达克 100 平均加权指数，成为纳斯达克100 指数中仅有的2家中国互联网公司之一。,基本情况发薪日:每月30日发（21日-本月20日）底薪:小时工：17元/小时；合同介绍合同说明:与企业指定人力资源公司签订；工资发放:由企业指定人力资源公司发放；保险说明:入职缴纳商业保险；食宿介绍伙食:免费提供中午的工作餐，早餐和晚餐自理；住宿:企业提供住宿，当天安排，住宿费免费，水电费平摊，宿舍在厂外，有厂车；,岗位状态工作内容:企业主要安排拣选、包装、分拣、装箱等工作工时说明:长白班（三个班次7:00-19:00，8:00-20:00，9:00-21:00）；工作环境:大部分站着上班，有安检，无人脸识别；录用条件年龄:18-45；材料:身份证临时无磁可以，需要要提供身份证复印件2份，照片不需要；体检说明:不体检；温馨提示：1、入职要交20元买工作马甲，不退； 2、部分岗位比较辛苦，适合年龄大想赚钱的会员； 3、不足七天离职无工资，做不满三个月扣三百元；,4000,"[3500, 4500]",3500元-4500元,京东商城华东区域分公司
3,联滔是一家国际知名集团公司，总部设在美国，并在世界各地都有分支机构，公司主要生产数据连接线，全球员工总数近十万人。,基本情况发薪日:每月15号（发1-31日）底薪:小时工资：17元/小时； （注：工价根据面试日期而定，入职后可使用周薪薪APP查看自己的工价）合同介绍合同说明:与企业指定的人力资源公司签订合同；工资发放:转正前由周薪薪平台代发工资；转正后企业发放保险说明:入职缴纳商业保险（50元保险费从工资里扣除）；食宿介绍伙食:公司提供三餐，刷卡吃饭，吃超从工资中扣除。第三个月需自己充饭卡，发薪日餐补随工资发放。（政策随企业变动）住宿:当天安排免费住宿，水电费自理（一个月约20到30元），宿舍厂区内外都有，厂区外宿舍有免费厂车，车程大概30分钟； （政策随企业变动）,岗位状态工时说明:两班制，能接受两班倒，配合倒班； 工作环境:部份流水线、部分坐着工作、不穿无尘服；温馨提示：1、工作轻松，住宿环境好，人性化管理；2、离职需按企业流程办理手续，薪资以企业实结为准；3、工期到2018年10月31日4、辞职要提前一个月提出申请；5、餐补离职当月厂里是不发的6、发薪日必须在职享受此政策，否则按厂里同工同酬计算！周薪发放原则：1、必须使用周薪薪APP签到；2、每周四可领上周工资，按照100元/天标准，每周最高可领6天（工作时间不低于8小时），每月15日结算上月剩余工资；,4250,"[4000, 4500]",4000元-4500元,昆山联滔电子有限公司
4,富士胶片是最早开展CTP技术研究的企业之一。CTP的运用可以使印刷厂提高质量、节省时间、简化操作流程，但因进口版材价格过高，交货不及时等问题，CTP技术长期以来一直在中国难以普及。为此，富士胶片与中印所的科技人员共同研究，攻克了制约CTP发展的瓶颈，于2004年10月率先实现了紫激光CTP版材在中国的本土化生产，加快了CTP在中国的普及速度，使市场需求急剧增长。,"基本情况发薪日:15号（1-31日）底薪:2080元薪资结构:1、底薪2000-2080元/月（部门不同）
2、加班费： 平时1.5倍  周末2倍  法定节假日3倍
3、绩效奖金：0- 300元/月
4、全勤奖金：150元/月
5、夜班津贴：14元/天
6、工龄津贴 : 100元/年   150/2年
7、住房补助：100元/月  
8、交通补助；80元/月合同介绍合同说明:与企业指定人力资源公司签订 ；工资发放:由企业指定的人力资源公司发放保险说明:入职缴纳商业保险35元/月，从工资中扣除食宿介绍伙食:刷卡吃饭，免费工作餐及加班餐（随企业政策变动）住宿:正式工有住宿，体检之后安排住宿，住宿免费，水电自理（需缴纳10元住宿钥匙押金）   派遣工没有住宿交通:有厂车",岗位状态工作内容:企业主做：数码相机，单反，车载摄像头，医疗打印机工时说明:两班倒，8：30对7：30    周一到周五10小时（2小时算加班）   周六8小时加班（双倍）工作环境:穿静电服，部分穿无尘服温馨提示：1、离职：提前1个月申请离职；,4400,"[4000, 4800]",4000元-4800元,富士胶片印版（苏州）有限公司
5,"神达计算机，是台湾最大PC制造商及GPS导航制造商的神达计算机股份有限公司旗下子公司，主要生产经营智能手机、PDA、GPS导航仪、PC主机板等业务。公司现有员工12,000余人。","基本情况发薪日:每月 10 日(26号至25号)底薪:1940元/月；薪资结构:1、职务津贴：50-450元/月； 
2、绩效奖金：0-300元/月； 
3、夜班补贴：8元/天；
4、加班费：按1940元计算，1.5倍2倍3倍。  合同介绍合同说明:与企业直接签订劳动保险说明:入职缴纳五险一金食宿介绍伙食:刷卡吃饭，工作日补助10元/天住宿:面试当天安排住宿，住宿免费，水电费均摊，住宿6～8人间，配有卫生间、洗浴间、空调，住宿地点：泰山路神达电脑生活区，交通:住宿离厂区步约行十分钟左右",岗位状态工时说明:两班制，能接受上夜班，配合倒班工作环境:大部分站着工作，流水线操作，穿静电衣温馨提示：附近很热闹，部分车间加班少,4000,"[3500, 4500]",3500元-4500元,神达电脑科技有限公司
6,中磊电子（苏州）有限公司是台湾中磊电子股份有限公司在苏州投资的全资子公司，是全 球第二大打印服务器供应商及无线宽频设备领导厂。 中磊公司是一家致力于满足中小企及家庭的网络应用需求，不断以创新的技术实力为企业和家庭提供高性价比和可靠的网络专用设备及相关应用解决的科技类公司；主要从事局域网、无线网络等产品的研发、生产。公司依靠强大的技术支持，赢得了众多用户的广泛赞誉。经营理念：创新科技、高可靠性产品和服务、可承受的价格。 ,"基本情况发薪日:每月10号底薪:1940元/月；薪资结构:1、年资津贴：三个月后300元 
2、全勤奖：100元/月 
3、夜班补贴：10元  
4、加班费：1940元计算1.5倍，2倍，3倍； 
5、其他福利： 享受国家基本福利待遇，年终奖金，节假日有礼品，举办旅游等福利合同介绍合同说明:与企业指定人力资源签订工资发放:由企业指定人力资源发放保险说明:入职缴纳社保食宿介绍伙食:免费提供工作餐（早班提供免费早餐，晚班提供免费夜宵）住宿:企业提供住宿，二厂男女宿舍，交85元住宿费+水电费平摊，工资中扣除（第一位入职人员交100元住宿押金，离职找宿管退还）","岗位状态工作内容:操作工工时说明:两班倒工作环境:恒温恒湿， 无需穿防尘服，穿静电衣，进出车间过安检门；录用条件年龄:男女21-32身高要求:身高155cm( 含) 以上材料:身份证复印件6份，笔， 1寸彩照1张  ，2寸白底4张；报到时带好资料以及体检单原件体检说明:体检费用50 元/人（面试之前有园区体检中心体检单或者同济医院体检单，一个月以内可以直接使用，面试当天的园区体检单不可以用） 温馨提示：1、宿舍第1个月入职住的需交115元住宿费，后面的每个月需交住宿费85月/元
2、中磊正式工，面试需要合同解除
3、未做满一个月会扣除300-500元左右，未做满一周没工资；
4、当天面试，第二天体检，第三天报到安排宿舍，如报到当天超过下午5点，宿管下班，会推到次日安排宿舍； ",4050,"[3600, 4500]",3600元-4500元,中磊电子（苏州）有限公司
7,目前闻泰的产品涵盖了从2G到3G的GSM、CDMA、EDGE、TD-SCDMA、EVDO等全系列手持设备，年产值数亿美元。闻泰自成立以来，始终坚持自主技术创新，投入大量人力、物力从事无线通讯新技术的研发和应用。截至目前闻泰已拥有技术专利近千项，率先拥有多项国际领先技术，且每年以500项的速度递增。同时，闻泰集团拥有完善的销售网络以及全过程品质控制体系。立足本土，放眼国际。闻泰创新性强、质量稳定可靠、性价比高的产品受到了国内外客户的热烈欢迎。现在闻泰产品远销全球30多个国家和地区，全世界超过7000万的消费者正通过闻泰的产品和服务享受着无线移动生活的美好。,基本情况发薪日:每月20号底薪:1810元/月合同介绍合同说明:与企业指定人力资源公司签订工资发放:企业直接发放保险说明:缴纳商业保险食宿介绍伙食:前7天吃饭自费，标准餐5-7元/餐，7天后企业发卡吃饭（可以借支300-400元/月）住宿:免费提供住宿，厂区宿舍在一起，水电费自理10-20元/人/月左右,岗位状态工作内容:手机产品检验、组装工时说明:两班倒温馨提示：需押7天身份证，办理银行卡、保险类等；前7天自己掏钱吃饭，请带好足够的生活费，闻泰自己买餐票，工作满7天可以借支工资 生产PCB板，设备操作，以站着上班为主,3750,"[3500, 4000]",3500元-4000元,浙江嘉兴闻泰集团有限公司
8,浙江嘉善富士康科技公司专业从事电脑、通讯、消费电子、数位内容、汽车零组件、通路等6C产业的高新科技企业。凭借扎根科技、专业制造和前瞻决策，自1974年在台湾肇基，特别是1988年在深圳地区建厂以来，富士康迅速发展壮大，拥有100余万员工及全球顶尖IT客户群，为全球最大的电子产业专业制造商公司名称：嘉善富士康科技公司公司规模：10000人。,基本情况发薪日:每月15日（1-31日）合同介绍合同说明:与企业指定人力资源公司签订工资发放:由人力资源公司发放，转正后企业发放；保险说明:入职缴纳社保，工资中扣食宿介绍伙食:刷卡吃饭，一日三餐标准11元，吃多少扣多少工资中扣除，工期暂定6个月（随企业政策变动）住宿:提供员工宿舍8人间，每人住宿费110元/月，水电费自理，并配空调/卫生间/热水器，自带行李，当天安排住宿交通:厂车上下班，部分厂区内住宿,岗位状态工作内容:部分站部分坐，流水线，只有一个部分穿无尘服，其余部门不穿无尘服。工时说明:八对八（按10小时计算），两班，一个月倒一次 工作环境:部分坐着工作、部分站着工作，不穿无尘服；部分车间环境不如意，打磨部门会有噪音，粉尘温馨提示：1、台资企业，工作地点在嘉兴市西塘镇，企业整体待遇好，不需要穿无尘服2、离职需按企业流程办理手续，薪资以企业实结为准 3、面试当天体检，次日报道   周薪发放原则： 1、必须使用周薪薪APP签到 2、每周四可领上周工资，按照110元/天标准，每周最高发放6天（工作时间不低于8小时），每月15日结算上月剩余工资,4500,"[4200, 4800]",4200元-4800元,嘉善富士康
9,"绿点科技（无锡）有限公司，成立于2005年5月，位于无锡国家高新技术产业开发区内，是世界知名手机大厂最信赖的供应商之一，主要产品为专业代工OEM及专业代工及设计ODM多家世界级大厂通讯等手机机壳之零组件。本着""追求卓越，让顾客完全满意”的方针，公司已全部通过ISO质量认证，并于2000年6月通过挪威船级社QS9000认证。","基本情况发薪日:每月10号（发26-25日）底薪:2000元/月；薪资结构:1、特殊岗位津贴：0-500元/月； 
2、绩效奖金：0-400元/月；
3、岗位补贴：0-300元/月；
4、全勤奖金：100元/月；
5、夜班津贴：10元/天；
6、加班费：按2000元计算1.5倍，2倍，3倍； 合同介绍合同说明:与企业指定人力资源公司签订； 工资发放:企业指定人力资源公司发放；保险说明:入职缴纳商保（按企业要求缴纳社保）；食宿介绍伙食:公司免费提供两餐，入职发放饭卡，刷卡吃饭，品类丰富，有水饺、奶茶等各种小吃； 住宿:公司提供宿舍，6-8人间，住宿费30元/月，水电费自理，住宿在厂外，有独立卫生间、空调等，有厂车，大约10-20分钟；","岗位状态工作内容:手机金属零部件设计、制造、加工； 工时说明:8:00-20:00两班倒工作制，每天工作10小时，休息2小时；工作环境:大部分站着上班，穿普通工作衣；温馨提示：1、公司实行无铁化安检，所有员工需着非金属衣服、鞋子，体内无钢板；
2、公司上下班实行人脸识别；
3、一周内离职无工资、自离无工资；
4、当天安排住宿，次日早上体检，然后下午面试，近期住宿紧张，比较分散，住宿环境较差；
5、补贴期间不能请假、旷工，否则就会影响拿补贴的时间，请假旷工严重者拿不到补贴；",3900,"[3500, 4300]",3500元-4300元,绿点科技（无锡）有限公司
